model,wielkosc,zapach,wosk,dostepnosc,cena,kod,iloscsprzedanych,dataostatniejsprzedazy
Takfönster,L,Pomarańcza-goździki,Rzepakowy,false,35.00 zł,632606778537,143,2023-03-27
Lägereld,M,Wanilia,Rzepakowy,true,40.00 zł,398673514290,595,2023-03-17
Lägereld,M,Kokos,Rzepakowy,false,40.00 zł,023961701989,865,2022-08-15
Lägereld,S,Wanilia,Sojowy,false,30.00 zł,968241315327,80,2023-06-02
Lykta,M,Jaśmin,Pszczeli,true,30.00 zł,132359281897,690,2023-09-22
Veke,L,Grejpfrut,Parafinowy,true,50.00 zł,484959200331,586,2023-10-25
Stjärna,M,Mięta,Pszczeli,false,50.00 zł,651944250552,545,2023-11-14
Gryning,M,Mięta,Sojowy,false,20.00 zł,133216574102,997,2023-02-10
Takfönster,M,Świerk,Rzepakowy,true,25.00 zł,019440323364,415,2023-03-19
Lägereld,M,Jaśmin,Rzepakowy,false,40.00 zł,925574997447,573,2022-09-03
Lykta,L,Hiacynt,Sojowy,true,40.00 zł,404529108790,359,2022-09-16
Gryning,M,Kokos,Sojowy,false,20.00 zł,843312459202,95,2023-05-05
Takfönster,L,Jabłko-cynamon,Parafinowy,true,35.00 zł,976261270653,256,2022-11-13
Lykta,L,Pomarańcza-goździki,Rzepakowy,false,40.00 zł,510931698719,418,2023-11-07
Lägereld,M,Świerk,Sojowy,true,40.00 zł,824139458430,785,2023-07-01
Lykta,S,Trawa cytrynowa,Rzepakowy,true,20.00 zł,273591212115,144,2023-01-21
Glans,M,Mięta,Parafinowy,false,35.00 zł,599920596212,109,2022-10-25
Veke,S,Świerk,Parafinowy,false,30.00 zł,214327448300,318,2023-06-12
Ljus,L,Wanilia,Sojowy,false,30.00 zł,428022736639,713,2023-03-24
Gryning,M,Lawenda,Rzepakowy,true,20.00 zł,418417339251,227,2022-11-23
Stjärna,M,Fiołek,Sojowy,true,50.00 zł,970022350851,832,2022-11-02
Lykta,S,Trawa cytrynowa,Parafinowy,true,20.00 zł,750345232590,820,2023-06-02
Lykta,L,Sosna,Sojowy,true,40.00 zł,972259880712,48,2022-12-26
Veke,L,Mięta,Pszczeli,false,50.00 zł,125313864219,744,2022-12-13
Ljus,M,Grejpfrut,Pszczeli,true,20.00 zł,981961882458,779,2023-08-05
Lykta,M,Lawenda,Parafinowy,true,30.00 zł,006214960782,241,2022-08-14
Lykta,L,Pomarańcza-goździki,Parafinowy,false,40.00 zł,799948765112,889,2023-05-22
Veke,S,Mięta,Parafinowy,true,30.00 zł,632553148737,7,2022-11-28
Glans,M,Jabłko-cynamon,Parafinowy,false,35.00 zł,971369202944,643,2023-11-06
Gryning,M,Świerk,Parafinowy,true,20.00 zł,003499696729,429,2023-06-29
Stjärna,M,Sosna,Sojowy,true,50.00 zł,900169143269,337,2023-04-09
Lägereld,S,Lawenda,Pszczeli,true,30.00 zł,743274042237,294,2023-08-09
Glans,M,Mięta,Parafinowy,true,35.00 zł,887612496134,488,2023-11-20
Ljus,M,Pomarańcza-goździki,Pszczeli,true,20.00 zł,070803923466,474,2023-06-20
Takfönster,M,Wanilia,Parafinowy,true,25.00 zł,961992807008,431,2022-09-05
Gryning,M,Mięta,Rzepakowy,false,20.00 zł,309474856246,112,2023-05-24
Lägereld,L,Hiacynt,Parafinowy,false,50.00 zł,775956076633,871,2022-12-02
Ljus,L,Świerk,Rzepakowy,true,30.00 zł,195033568701,606,2023-04-10
Gryning,M,Hiacynt,Parafinowy,true,20.00 zł,167235485368,638,2022-11-22
Stjärna,S,Mięta,Sojowy,false,40.00 zł,822362606431,861,2022-09-11
Lykta,L,Mięta,Parafinowy,false,40.00 zł,036588136561,776,2022-07-23
Lägereld,M,Hiacynt,Pszczeli,false,40.00 zł,275377776830,863,2023-01-20
Glans,S,Sosna,Pszczeli,false,25.00 zł,961891068911,646,2022-11-21
Glans,M,Grejpfrut,Rzepakowy,true,35.00 zł,197763319277,792,2022-09-30
Lägereld,M,Hiacynt,Sojowy,true,40.00 zł,566810035315,611,2023-09-19
Gryning,L,Grejpfrut,Sojowy,true,30.00 zł,545854220129,395,2022-07-31
Stjärna,M,Pomarańcza-goździki,Parafinowy,true,50.00 zł,642352192168,655,2023-06-11
Gryning,M,Lawenda,Rzepakowy,false,20.00 zł,176429473557,864,2022-10-01
Glans,M,Jabłko-cynamon,Parafinowy,false,35.00 zł,860154026109,910,2022-07-22
Ljus,M,Lawenda,Rzepakowy,true,20.00 zł,906269003405,733,2022-11-04
Glans,L,Grejpfrut,Parafinowy,true,45.00 zł,324946780821,578,2022-08-04
Ljus,M,Mięta,Parafinowy,true,20.00 zł,177119260340,662,2022-08-02
Stjärna,M,Jaśmin,Sojowy,true,50.00 zł,299552827241,52,2022-08-07
Stjärna,L,Jabłko-cynamon,Sojowy,true,60.00 zł,476912020693,177,2022-09-02
Veke,M,Lawenda,Rzepakowy,true,40.00 zł,325185525336,439,2023-04-12
Gryning,S,Pomarańcza-goździki,Sojowy,true,10.00 zł,445160659864,190,2023-10-24
Lykta,M,Kokos,Rzepakowy,true,30.00 zł,722948848595,223,2023-10-28
Lykta,M,Jaśmin,Pszczeli,true,30.00 zł,544301393218,465,2022-11-16
Stjärna,M,Jaśmin,Sojowy,false,50.00 zł,114204960787,413,2023-07-10
Gryning,M,Hiacynt,Rzepakowy,true,20.00 zł,177274072034,897,2022-08-01
Lägereld,M,Kokos,Parafinowy,false,40.00 zł,704972958375,645,2023-09-08
Stjärna,L,Sosna,Rzepakowy,true,60.00 zł,166078747246,273,2023-06-21
Lykta,L,Kokos,Rzepakowy,false,40.00 zł,285214770668,418,2023-08-12
Stjärna,M,Mięta,Rzepakowy,true,50.00 zł,019416070696,396,2022-10-09
Lykta,M,Kokos,Rzepakowy,true,30.00 zł,912808079036,725,2022-11-14
Takfönster,S,Fiołek,Sojowy,true,15.00 zł,248290819090,93,2023-04-03
Takfönster,M,Sosna,Parafinowy,true,25.00 zł,327469723177,212,2023-01-01
Lägereld,M,Pomarańcza-goździki,Parafinowy,false,40.00 zł,244079784533,615,2023-03-24
Lägereld,L,Jabłko-cynamon,Sojowy,false,50.00 zł,131364696478,547,2023-08-18
Lägereld,L,Jaśmin,Pszczeli,false,50.00 zł,734493114692,747,2023-07-16
Takfönster,L,Kokos,Rzepakowy,true,35.00 zł,453065161950,67,2022-08-16
Lägereld,L,Grejpfrut,Parafinowy,true,50.00 zł,617759507632,462,2023-04-29
Veke,S,Trawa cytrynowa,Parafinowy,true,30.00 zł,578759461078,201,2023-07-14
Lykta,S,Jabłko-cynamon,Parafinowy,true,20.00 zł,095525962330,551,2023-09-20
Lykta,M,Trawa cytrynowa,Parafinowy,false,30.00 zł,044456338129,914,2022-08-07
Glans,M,Trawa cytrynowa,Pszczeli,true,35.00 zł,735040917328,285,2023-08-26
Lykta,S,Mięta,Rzepakowy,true,20.00 zł,638683364045,400,2023-03-02
Lykta,M,Grejpfrut,Rzepakowy,false,30.00 zł,777654949215,663,2023-05-30
Lägereld,L,Kokos,Pszczeli,true,50.00 zł,951598644925,939,2023-05-23
Veke,M,Jabłko-cynamon,Pszczeli,true,40.00 zł,041599479570,838,2023-11-02
Stjärna,S,Świerk,Sojowy,true,40.00 zł,051566272629,71,2023-03-02
Ljus,S,Kokos,Rzepakowy,false,10.00 zł,385585428441,707,2022-12-25
Ljus,L,Hiacynt,Pszczeli,false,30.00 zł,558036157284,192,2023-10-28
Takfönster,L,Świerk,Rzepakowy,true,35.00 zł,270429275439,485,2023-08-24
Veke,L,Pomarańcza-goździki,Pszczeli,false,50.00 zł,140342605936,484,2023-10-01
Glans,M,Lawenda,Rzepakowy,false,35.00 zł,118728386793,574,2023-02-09
Glans,L,Mięta,Sojowy,true,45.00 zł,355884370750,46,2022-10-06
Lägereld,M,Fiołek,Parafinowy,false,40.00 zł,178601970715,22,2023-11-08
Lykta,M,Jaśmin,Rzepakowy,true,30.00 zł,317539936043,171,2023-02-28
Ljus,M,Sosna,Pszczeli,false,20.00 zł,407069693802,186,2023-05-21
Veke,S,Hiacynt,Sojowy,false,30.00 zł,924135025102,742,2023-11-16
Lykta,L,Lawenda,Rzepakowy,true,40.00 zł,015643021713,632,2023-08-16
Lägereld,M,Jabłko-cynamon,Sojowy,true,40.00 zł,246191045675,857,2023-09-05
Lägereld,L,Grejpfrut,Pszczeli,false,50.00 zł,044097761419,555,2023-06-17
Takfönster,M,Świerk,Pszczeli,true,25.00 zł,028338358475,460,2023-07-07
Gryning,S,Świerk,Rzepakowy,false,10.00 zł,483066242899,347,2022-10-18
Lykta,S,Trawa cytrynowa,Pszczeli,false,20.00 zł,660037877436,36,2022-11-09
Ljus,L,Trawa cytrynowa,Rzepakowy,false,30.00 zł,153834383993,118,2023-07-18
Gryning,M,Jabłko-cynamon,Sojowy,true,20.00 zł,527296026982,588,2023-02-25
Takfönster,S,Kokos,Rzepakowy,true,15.00 zł,468542748031,132,2023-09-21
Lykta,M,Fiołek,Rzepakowy,false,30.00 zł,328231456119,4,2022-12-21
Lykta,M,Sosna,Sojowy,false,30.00 zł,218822263384,781,2022-11-19
Lägereld,L,Hiacynt,Rzepakowy,false,50.00 zł,812046337172,689,2023-04-03
Stjärna,L,Jaśmin,Parafinowy,false,60.00 zł,855047755810,277,2023-09-17
Lykta,M,Grejpfrut,Sojowy,false,30.00 zł,791244750576,509,2023-01-04
Gryning,M,Kokos,Parafinowy,false,20.00 zł,090596993479,835,2023-03-27
Veke,S,Fiołek,Parafinowy,false,30.00 zł,344674246457,558,2023-05-18
Stjärna,L,Fiołek,Pszczeli,false,60.00 zł,699077044866,345,2023-11-12
Ljus,L,Jaśmin,Pszczeli,true,30.00 zł,174633436463,100,2023-06-08
Veke,M,Wanilia,Pszczeli,false,40.00 zł,105954830177,712,2023-01-13
Lykta,S,Pomarańcza-goździki,Parafinowy,true,20.00 zł,596800496278,477,2022-09-25
Ljus,M,Trawa cytrynowa,Rzepakowy,false,20.00 zł,271384389178,618,2023-04-25
Veke,M,Fiołek,Sojowy,false,40.00 zł,732920708718,958,2023-01-07
Lykta,M,Wanilia,Rzepakowy,false,30.00 zł,248440568333,474,2022-08-13
Takfönster,L,Pomarańcza-goździki,Parafinowy,true,35.00 zł,910895772538,210,2023-08-16
Lykta,M,Wanilia,Sojowy,true,30.00 zł,997762172174,338,2023-07-19
Veke,S,Fiołek,Rzepakowy,false,30.00 zł,130455789718,558,2023-02-03
Takfönster,M,Fiołek,Parafinowy,false,25.00 zł,666543045114,416,2023-11-24
Takfönster,S,Fiołek,Sojowy,true,15.00 zł,080247752286,798,2022-11-22
Stjärna,S,Świerk,Pszczeli,false,40.00 zł,887890702873,239,2022-10-25
Glans,L,Wanilia,Sojowy,true,45.00 zł,550956077930,352,2023-06-05
Veke,L,Jabłko-cynamon,Parafinowy,true,50.00 zł,807428136644,20,2023-11-01
Ljus,M,Grejpfrut,Sojowy,false,20.00 zł,260703871764,748,2023-01-28
Lykta,M,Mięta,Parafinowy,true,30.00 zł,809546168910,932,2022-10-18
Glans,M,Fiołek,Sojowy,false,35.00 zł,063188028540,160,2023-09-13
Ljus,L,Fiołek,Sojowy,true,30.00 zł,858132654683,517,2023-02-04
Stjärna,M,Kokos,Rzepakowy,false,50.00 zł,435182910240,367,2023-06-04
Takfönster,L,Fiołek,Pszczeli,false,35.00 zł,039634115084,403,2023-03-14
Lykta,L,Sosna,Pszczeli,true,40.00 zł,573405750681,79,2023-08-11
Glans,M,Świerk,Parafinowy,true,35.00 zł,844571027695,676,2023-10-24
Takfönster,L,Grejpfrut,Rzepakowy,false,35.00 zł,904216906459,532,2023-04-25
Ljus,M,Hiacynt,Pszczeli,false,20.00 zł,259386462518,5,2023-09-30
Lykta,M,Mięta,Parafinowy,true,30.00 zł,050106422317,11,2023-04-19
Lägereld,L,Grejpfrut,Rzepakowy,false,50.00 zł,398996750400,62,2023-09-17
Gryning,L,Pomarańcza-goździki,Sojowy,false,30.00 zł,379265868824,89,2022-12-10
Gryning,L,Pomarańcza-goździki,Parafinowy,true,30.00 zł,424948047314,250,2023-05-25
Stjärna,L,Lawenda,Sojowy,true,60.00 zł,398463659590,999,2023-11-05
Gryning,L,Świerk,Pszczeli,false,30.00 zł,216892786453,22,2023-11-07
Stjärna,S,Grejpfrut,Pszczeli,true,40.00 zł,960539241843,895,2022-12-02
Lykta,L,Hiacynt,Parafinowy,false,40.00 zł,193211848594,679,2022-10-28
Ljus,M,Wanilia,Sojowy,false,20.00 zł,998141645242,493,2022-12-13
Lägereld,L,Sosna,Parafinowy,true,50.00 zł,530868716125,416,2022-10-03
Ljus,S,Kokos,Pszczeli,false,10.00 zł,203561361054,400,2023-06-14
Stjärna,M,Grejpfrut,Pszczeli,true,50.00 zł,144083153167,913,2023-07-17
Ljus,M,Sosna,Pszczeli,false,20.00 zł,745753582949,140,2023-03-17
Stjärna,S,Hiacynt,Pszczeli,false,40.00 zł,562663561550,461,2023-01-06
Stjärna,M,Hiacynt,Sojowy,false,50.00 zł,543472179947,237,2023-04-17
Veke,M,Grejpfrut,Sojowy,false,40.00 zł,440604216794,438,2023-08-04
Ljus,S,Lawenda,Rzepakowy,true,10.00 zł,466743926546,580,2022-09-22
Lägereld,M,Mięta,Sojowy,false,40.00 zł,121054032903,30,2022-10-09
Stjärna,M,Lawenda,Parafinowy,true,50.00 zł,937723104742,76,2022-12-04
Gryning,M,Fiołek,Rzepakowy,false,20.00 zł,313261201012,138,2023-06-14
Lykta,M,Kokos,Rzepakowy,true,30.00 zł,788721691765,833,2023-11-27
Gryning,M,Wanilia,Parafinowy,true,20.00 zł,371906632527,414,2022-10-23
Lykta,L,Hiacynt,Rzepakowy,false,40.00 zł,454129260340,237,2023-02-08
Takfönster,S,Jabłko-cynamon,Rzepakowy,false,15.00 zł,781566927770,186,2022-08-03
Gryning,S,Wanilia,Rzepakowy,false,10.00 zł,847212589370,510,2023-08-23
Lägereld,L,Kokos,Rzepakowy,false,50.00 zł,475138742403,564,2023-11-29
Takfönster,S,Jabłko-cynamon,Parafinowy,true,15.00 zł,909754671837,687,2022-09-25
Veke,L,Sosna,Sojowy,true,50.00 zł,958669490577,102,2023-02-03
Veke,L,Sosna,Sojowy,false,50.00 zł,149441322453,86,2022-12-12
Lägereld,S,Mięta,Pszczeli,false,30.00 zł,803863648079,472,2023-03-15
Glans,S,Pomarańcza-goździki,Sojowy,true,25.00 zł,245555354672,88,2022-10-27
Takfönster,S,Mięta,Rzepakowy,true,15.00 zł,697701431779,972,2023-02-18
Lägereld,M,Wanilia,Sojowy,true,40.00 zł,416867309101,591,2022-12-24
Glans,S,Mięta,Rzepakowy,false,25.00 zł,655001192733,581,2023-02-16
Takfönster,M,Pomarańcza-goździki,Rzepakowy,true,25.00 zł,959533365477,809,2022-09-13
Takfönster,M,Grejpfrut,Pszczeli,true,25.00 zł,936638298386,433,2022-12-01
Glans,L,Świerk,Pszczeli,true,45.00 zł,472838455293,464,2022-11-13
Ljus,M,Hiacynt,Rzepakowy,false,20.00 zł,184427644929,155,2022-08-30
Stjärna,M,Fiołek,Parafinowy,false,50.00 zł,853593194605,375,2022-08-09
Ljus,M,Grejpfrut,Pszczeli,true,20.00 zł,471427935532,121,2022-09-02
Glans,L,Jabłko-cynamon,Rzepakowy,false,45.00 zł,275173237757,23,2022-08-08
Lykta,M,Mięta,Pszczeli,false,30.00 zł,003351128102,717,2023-03-17
Veke,S,Jabłko-cynamon,Parafinowy,false,30.00 zł,276269734892,640,2022-12-25
Gryning,M,Sosna,Pszczeli,true,20.00 zł,122820041925,652,2023-03-30
Lägereld,M,Jaśmin,Sojowy,true,40.00 zł,267472206653,34,2022-08-24
Glans,L,Fiołek,Rzepakowy,true,45.00 zł,176252108007,990,2022-11-27
Stjärna,M,Sosna,Rzepakowy,true,50.00 zł,349710767343,227,2023-01-31
Veke,S,Fiołek,Pszczeli,true,30.00 zł,626724370174,383,2023-06-15
Stjärna,M,Sosna,Rzepakowy,true,50.00 zł,540369887953,609,2023-08-18
Lykta,M,Grejpfrut,Rzepakowy,true,30.00 zł,029585775357,681,2023-04-18
Veke,S,Fiołek,Parafinowy,true,30.00 zł,847825632462,593,2022-11-24
Ljus,S,Kokos,Pszczeli,true,10.00 zł,337462455161,834,2023-01-27
Ljus,M,Grejpfrut,Pszczeli,false,20.00 zł,913406684839,559,2023-07-26
Lägereld,L,Fiołek,Pszczeli,true,50.00 zł,276474127632,814,2023-01-18
Takfönster,S,Pomarańcza-goździki,Parafinowy,false,15.00 zł,567407424302,214,2022-10-14
Stjärna,S,Kokos,Rzepakowy,false,40.00 zł,285170504835,115,2023-05-10
Lykta,S,Fiołek,Rzepakowy,true,20.00 zł,729961750881,174,2022-12-09
Gryning,S,Świerk,Sojowy,false,10.00 zł,972943501440,304,2022-08-09
Lykta,M,Lawenda,Pszczeli,true,30.00 zł,184892386970,764,2023-05-16
Stjärna,S,Kokos,Rzepakowy,true,40.00 zł,266859826776,760,2023-03-23
Stjärna,S,Fiołek,Rzepakowy,false,40.00 zł,582578382090,919,2022-12-28
Veke,M,Grejpfrut,Rzepakowy,false,40.00 zł,393805103537,104,2023-10-18
Gryning,M,Jabłko-cynamon,Parafinowy,true,20.00 zł,561273111508,391,2023-02-17
Takfönster,S,Pomarańcza-goździki,Sojowy,true,15.00 zł,427740238389,349,2023-02-12
Takfönster,M,Wanilia,Sojowy,true,25.00 zł,015369247558,225,2023-10-29
Gryning,M,Pomarańcza-goździki,Rzepakowy,true,20.00 zł,440146254162,169,2023-11-10
Lykta,S,Jaśmin,Sojowy,false,20.00 zł,175493094309,896,2023-10-25
Lykta,L,Fiołek,Sojowy,false,40.00 zł,242005024683,932,2022-12-04
Glans,M,Mięta,Rzepakowy,true,35.00 zł,058177865823,455,2022-12-09
Lykta,M,Trawa cytrynowa,Parafinowy,false,30.00 zł,771499605847,395,2023-11-21
Lykta,M,Jaśmin,Pszczeli,true,30.00 zł,872511977375,167,2023-02-10
Lykta,M,Wanilia,Parafinowy,false,30.00 zł,170416808918,214,2023-01-03
Stjärna,L,Pomarańcza-goździki,Parafinowy,true,60.00 zł,089203764903,119,2022-10-05
Lykta,L,Lawenda,Sojowy,true,40.00 zł,146799039531,387,2023-05-31
Stjärna,S,Świerk,Sojowy,false,40.00 zł,448379000105,582,2022-09-27
Lykta,M,Lawenda,Sojowy,true,30.00 zł,920520160741,307,2023-08-26
Glans,S,Fiołek,Parafinowy,true,25.00 zł,388250280253,641,2023-10-20
Lykta,M,Jabłko-cynamon,Rzepakowy,false,30.00 zł,437557288373,999,2022-11-29
Glans,L,Hiacynt,Sojowy,false,45.00 zł,223639832650,844,2023-04-07
Stjärna,L,Kokos,Rzepakowy,false,60.00 zł,339144057811,294,2022-10-21
Lägereld,L,Wanilia,Parafinowy,true,50.00 zł,756919435091,605,2023-04-12
Glans,S,Fiołek,Rzepakowy,true,25.00 zł,308774677860,865,2022-10-12
Gryning,L,Jaśmin,Rzepakowy,false,30.00 zł,302333900608,601,2023-02-23
Lägereld,L,Hiacynt,Sojowy,true,50.00 zł,333771872924,661,2023-04-26
Gryning,M,Lawenda,Rzepakowy,false,20.00 zł,484927389261,983,2023-08-01
Glans,L,Trawa cytrynowa,Rzepakowy,false,45.00 zł,339187145308,915,2022-12-05
Ljus,S,Trawa cytrynowa,Pszczeli,true,10.00 zł,081233861665,565,2023-05-19
Lykta,S,Mięta,Rzepakowy,true,20.00 zł,200475269920,952,2023-07-05
Gryning,M,Grejpfrut,Rzepakowy,true,20.00 zł,548370703458,979,2022-10-15
Glans,L,Wanilia,Sojowy,false,45.00 zł,738037561947,404,2023-06-08
Stjärna,M,Mięta,Parafinowy,true,50.00 zł,684458046770,364,2023-08-03
Lägereld,M,Kokos,Sojowy,true,40.00 zł,390785932626,644,2022-08-30
Ljus,S,Grejpfrut,Parafinowy,false,10.00 zł,144866982328,418,2022-12-07
Lykta,M,Grejpfrut,Sojowy,false,30.00 zł,356932922111,842,2023-10-15
Lykta,M,Lawenda,Pszczeli,true,30.00 zł,848355965660,462,2023-11-07
Stjärna,M,Grejpfrut,Pszczeli,false,50.00 zł,411302434165,805,2023-04-09
Ljus,L,Hiacynt,Parafinowy,true,30.00 zł,995790826783,923,2023-05-18
Glans,S,Trawa cytrynowa,Rzepakowy,false,25.00 zł,707927657398,497,2022-12-26
Veke,S,Świerk,Parafinowy,false,30.00 zł,081251139288,488,2023-06-04
Takfönster,S,Trawa cytrynowa,Sojowy,false,15.00 zł,529081180726,352,2023-03-24
Lykta,M,Lawenda,Pszczeli,false,30.00 zł,109365941087,53,2023-01-18
Veke,S,Sosna,Rzepakowy,false,30.00 zł,262958277368,493,2023-01-05
Takfönster,M,Sosna,Sojowy,true,25.00 zł,996669533930,424,2022-12-04
Takfönster,M,Wanilia,Sojowy,true,25.00 zł,733063708561,772,2023-09-26
Takfönster,M,Trawa cytrynowa,Rzepakowy,true,25.00 zł,945498713800,913,2023-04-11
Stjärna,S,Grejpfrut,Parafinowy,true,40.00 zł,907546784761,274,2023-11-21
Veke,S,Mięta,Pszczeli,false,30.00 zł,510472298181,639,2022-08-31
Stjärna,M,Hiacynt,Sojowy,true,50.00 zł,527915512739,529,2023-06-30
Veke,M,Lawenda,Rzepakowy,false,40.00 zł,505957161139,628,2022-10-01
Gryning,S,Mięta,Parafinowy,false,10.00 zł,697457860985,918,2022-12-22
Lägereld,S,Grejpfrut,Pszczeli,false,30.00 zł,897988712139,757,2023-11-04
Veke,M,Wanilia,Parafinowy,false,40.00 zł,113880734635,687,2023-04-17
Veke,M,Kokos,Parafinowy,false,40.00 zł,003672439172,394,2023-04-07
Stjärna,L,Kokos,Pszczeli,true,60.00 zł,740652138560,150,2022-10-15
Lägereld,M,Fiołek,Rzepakowy,true,40.00 zł,414977620024,424,2023-07-19
Glans,L,Fiołek,Rzepakowy,false,45.00 zł,000728632389,717,2022-09-18
Gryning,L,Hiacynt,Pszczeli,false,30.00 zł,770960820388,985,2023-01-08
Glans,M,Mięta,Sojowy,false,35.00 zł,407635652349,370,2023-05-20
Lykta,M,Mięta,Parafinowy,true,30.00 zł,211641356479,405,2023-07-30
Stjärna,L,Sosna,Rzepakowy,false,60.00 zł,273526516896,980,2023-05-27
Gryning,M,Świerk,Rzepakowy,true,20.00 zł,925334062317,901,2022-09-12
Lykta,L,Mięta,Pszczeli,true,40.00 zł,689060521980,508,2023-07-17
Gryning,L,Mięta,Pszczeli,false,30.00 zł,223394398161,479,2023-07-16
Lägereld,L,Grejpfrut,Rzepakowy,true,50.00 zł,017489508248,830,2023-10-20
Glans,S,Trawa cytrynowa,Sojowy,true,25.00 zł,786847575895,434,2023-10-12
Ljus,S,Fiołek,Sojowy,false,10.00 zł,571777039972,489,2022-11-30
Glans,M,Hiacynt,Sojowy,false,35.00 zł,313018202640,642,2023-11-03
Takfönster,L,Trawa cytrynowa,Rzepakowy,false,35.00 zł,387725581756,450,2023-06-20
Stjärna,M,Jaśmin,Rzepakowy,false,50.00 zł,609526538538,107,2023-01-20
Takfönster,L,Kokos,Pszczeli,false,35.00 zł,298279522865,139,2022-10-16
Stjärna,M,Kokos,Sojowy,false,50.00 zł,547823860616,188,2023-11-07
Veke,M,Mięta,Sojowy,false,40.00 zł,130148456605,235,2023-08-15
Ljus,L,Grejpfrut,Rzepakowy,false,30.00 zł,729490305694,402,2022-10-24
Stjärna,M,Jaśmin,Pszczeli,false,50.00 zł,450478480948,518,2023-07-14
Ljus,M,Hiacynt,Sojowy,false,20.00 zł,873922181676,316,2023-08-27
Stjärna,L,Lawenda,Pszczeli,false,60.00 zł,916624644175,141,2023-11-22
Ljus,M,Jaśmin,Rzepakowy,false,20.00 zł,452423082440,8,2023-06-21
Lykta,M,Mięta,Rzepakowy,true,30.00 zł,867430151543,847,2022-08-16
Veke,S,Grejpfrut,Rzepakowy,true,30.00 zł,781711916789,804,2022-11-13
Takfönster,S,Pomarańcza-goździki,Parafinowy,false,15.00 zł,344872391644,784,2023-03-04
Ljus,S,Mięta,Sojowy,false,10.00 zł,847915504740,889,2023-10-30
Ljus,L,Lawenda,Sojowy,true,30.00 zł,421916653347,338,2022-10-04
Veke,M,Trawa cytrynowa,Pszczeli,false,40.00 zł,815009424883,668,2022-09-03
Ljus,M,Pomarańcza-goździki,Rzepakowy,false,20.00 zł,628447430155,470,2022-12-31
Ljus,M,Trawa cytrynowa,Rzepakowy,true,20.00 zł,235091493236,121,2023-06-28
Veke,M,Grejpfrut,Parafinowy,false,40.00 zł,544727262157,476,2023-01-12
Stjärna,L,Hiacynt,Rzepakowy,false,60.00 zł,043827271107,696,2023-06-27
Lykta,M,Mięta,Sojowy,false,30.00 zł,014401079681,298,2023-02-05
Glans,L,Sosna,Rzepakowy,false,45.00 zł,988306067267,81,2023-10-10
Veke,S,Mięta,Pszczeli,true,30.00 zł,217991146309,702,2023-11-03
Veke,M,Świerk,Parafinowy,false,40.00 zł,649827605128,694,2022-08-25
Glans,L,Trawa cytrynowa,Sojowy,true,45.00 zł,846834758674,56,2022-12-21
Gryning,M,Fiołek,Sojowy,true,20.00 zł,456353234950,876,2022-11-02
Veke,S,Hiacynt,Sojowy,true,30.00 zł,373319434936,82,2023-07-05
Lägereld,S,Grejpfrut,Sojowy,true,30.00 zł,165772200776,657,2023-04-25
Takfönster,S,Trawa cytrynowa,Pszczeli,true,15.00 zł,272361682271,859,2023-07-03
Gryning,L,Jabłko-cynamon,Rzepakowy,true,30.00 zł,282058146428,586,2022-11-14
Veke,M,Jaśmin,Pszczeli,false,40.00 zł,907273897728,537,2023-05-30
Ljus,S,Sosna,Rzepakowy,false,10.00 zł,444674704498,830,2023-01-07
Gryning,M,Jabłko-cynamon,Parafinowy,false,20.00 zł,800362227126,275,2023-09-18
Takfönster,M,Lawenda,Pszczeli,true,25.00 zł,163969408479,836,2022-12-21
Veke,L,Jabłko-cynamon,Pszczeli,true,50.00 zł,864863246980,430,2023-08-28
Gryning,L,Świerk,Pszczeli,true,30.00 zł,886827943460,267,2022-08-25
Gryning,S,Jaśmin,Parafinowy,false,10.00 zł,627960410199,763,2022-11-02
Ljus,L,Hiacynt,Sojowy,false,30.00 zł,456671541987,636,2023-03-17
Gryning,M,Wanilia,Parafinowy,true,20.00 zł,667300717919,955,2022-08-06
Takfönster,L,Wanilia,Rzepakowy,false,35.00 zł,335498886328,55,2023-01-13
Glans,M,Jabłko-cynamon,Parafinowy,false,35.00 zł,681904608290,337,2022-12-20
Lykta,M,Pomarańcza-goździki,Sojowy,false,30.00 zł,715400158885,784,2023-07-10
Ljus,M,Grejpfrut,Sojowy,true,20.00 zł,730334892826,970,2022-12-08
Stjärna,L,Hiacynt,Parafinowy,true,60.00 zł,170988852654,836,2022-12-11
Lägereld,M,Świerk,Parafinowy,true,40.00 zł,850086489527,103,2023-03-11
Gryning,M,Mięta,Parafinowy,false,20.00 zł,557255061490,833,2022-08-19
Lykta,M,Wanilia,Pszczeli,false,30.00 zł,673432958158,161,2023-11-12
Gryning,M,Jaśmin,Rzepakowy,true,20.00 zł,867965140617,354,2023-07-31
Lykta,M,Mięta,Pszczeli,true,30.00 zł,244937718620,639,2023-08-01
Lägereld,M,Jaśmin,Rzepakowy,false,40.00 zł,185839049383,94,2023-07-09
Gryning,S,Grejpfrut,Parafinowy,false,10.00 zł,930641558710,390,2022-09-22
Lägereld,M,Jabłko-cynamon,Pszczeli,true,40.00 zł,802634045317,28,2023-04-22
Veke,L,Grejpfrut,Rzepakowy,false,50.00 zł,839300620730,802,2023-07-19
Veke,M,Mięta,Sojowy,false,40.00 zł,305686779526,659,2023-02-25
Lägereld,S,Trawa cytrynowa,Parafinowy,false,30.00 zł,125405913952,818,2022-08-02
